cell_line,diff_time,exp,exp_conc,metabo,metabo_conc
CTRL9II,Day 5,Control,0 µM,Alanine,3.162356379
CTRL9II,Day 5,Control,0 µM,Alanine,3.503593272
CTRL9II,Day 5,Control,0 µM,Alanine,3.527208914
CTRL9II,Day 5,Control,0 µM,Alanine,3.366262031
CTRL9II,Day 5,Control,0 µM,Alanine,3.616474316
CTRL9II,Day 5,Control,0 µM,Alanine,3.41053893
CTRL9II,Day 5,PH,3 µM,Alanine,2.601688768
CTRL9II,Day 5,PH,3 µM,Alanine,2.851291946
CTRL9II,Day 5,PH,3 µM,Alanine,3.701948556
CTRL9II,Day 5,PH,3 µM,Alanine,2.279768049
CTRL9II,Day 5,PH,3 µM,Alanine,2.256935891
CTRL9II,Day 5,PH,3 µM,Alanine,2.256350468
CTRL9II,Day 5,FH,3 µM,Alanine,3.189690158
CTRL9II,Day 5,FH,3 µM,Alanine,3.312791702
CTRL9II,Day 5,FH,3 µM,Alanine,3.227834496
CTRL9II,Day 5,FH,3 µM,Alanine,2.747754758
CTRL9II,Day 5,FH,3 µM,Alanine,2.817968648
CTRL9II,Day 5,FH,3 µM,Alanine,2.698102175
CTRL9II,Day 5,CH,3 µM,Alanine,3.81300245
CTRL9II,Day 5,CH,3 µM,Alanine,3.602984153
CTRL9II,Day 5,CH,3 µM,Alanine,3.63570032
CTRL9II,Day 5,CH,3 µM,Alanine,2.760411872
CTRL9II,Day 5,CH,3 µM,Alanine,2.596123357
CTRL9II,Day 5,CH,3 µM,Alanine,2.232634576
CTRL9II,Day 5,SH,1.5 µM,Alanine,2.172164122
CTRL9II,Day 5,SH,1.5 µM,Alanine,2.065886471
CTRL9II,Day 5,SH,1.5 µM,Alanine,2.561038402
CTRL9II,Day 5,SH,1.5 µM,Alanine,1.999885501
CTRL9II,Day 5,SH,1.5 µM,Alanine,2.036507208
CTRL9II,Day 5,SH,1.5 µM,Alanine,1.728823146
ASD17AII,Day 5,Control,0 µM,Alanine,3.690726
ASD17AII,Day 5,Control,0 µM,Alanine,3.110620706
ASD17AII,Day 5,Control,0 µM,Alanine,3.592227382
ASD17AII,Day 5,Control,0 µM,Alanine,1.41237819
ASD17AII,Day 5,Control,0 µM,Alanine,1.50953103
ASD17AII,Day 5,Control,0 µM,Alanine,1.816079943
ASD17AII,Day 5,PH,3 µM,Alanine,2.82674051
ASD17AII,Day 5,PH,3 µM,Alanine,2.442259949
ASD17AII,Day 5,PH,3 µM,Alanine,2.84664518
ASD17AII,Day 5,PH,3 µM,Alanine,0.935032045
ASD17AII,Day 5,PH,3 µM,Alanine,0.944496755
ASD17AII,Day 5,PH,3 µM,Alanine,0.746303534
ASD17AII,Day 5,FH,3 µM,Alanine,4.056150424
ASD17AII,Day 5,FH,3 µM,Alanine,4.201307375
ASD17AII,Day 5,FH,3 µM,Alanine,3.978630668
ASD17AII,Day 5,FH,3 µM,Alanine,1.092107348
ASD17AII,Day 5,FH,3 µM,Alanine,1.407411874
ASD17AII,Day 5,FH,3 µM,Alanine,1.455842294
ASD17AII,Day 5,CH,3 µM,Alanine,4.061879464
ASD17AII,Day 5,CH,3 µM,Alanine,4.275028424
ASD17AII,Day 5,CH,3 µM,Alanine,4.390198144
ASD17AII,Day 5,CH,3 µM,Alanine,1.523320952
ASD17AII,Day 5,CH,3 µM,Alanine,1.733186497
ASD17AII,Day 5,CH,3 µM,Alanine,1.366083022
ASD17AII,Day 5,SH,1.5 µM,Alanine,3.069994107
ASD17AII,Day 5,SH,1.5 µM,Alanine,2.259556973
ASD17AII,Day 5,SH,1.5 µM,Alanine,2.726394889
ASD17AII,Day 5,SH,1.5 µM,Alanine,0.822169928
ASD17AII,Day 5,SH,1.5 µM,Alanine,0.83637294
ASD17AII,Day 5,SH,1.5 µM,Alanine,0.738523808
ASD12BI,Day 5,Control,0 µM,Alanine,5.021128985
ASD12BI,Day 5,Control,0 µM,Alanine,5.282039783
ASD12BI,Day 5,Control,0 µM,Alanine,5.908593806
ASD12BI,Day 5,Control,0 µM,Alanine,1.655878714
ASD12BI,Day 5,Control,0 µM,Alanine,1.707325497
ASD12BI,Day 5,Control,0 µM,Alanine,2.216936261
ASD12BI,Day 5,PH,3 µM,Alanine,4.163003479
ASD12BI,Day 5,PH,3 µM,Alanine,4.37163301
ASD12BI,Day 5,PH,3 µM,Alanine,4.485429561
ASD12BI,Day 5,PH,3 µM,Alanine,1.019310331
ASD12BI,Day 5,PH,3 µM,Alanine,1.075520898
ASD12BI,Day 5,PH,3 µM,Alanine,1.2777022
ASD12BI,Day 5,FH,3 µM,Alanine,6.255998407
ASD12BI,Day 5,FH,3 µM,Alanine,6.584297195
ASD12BI,Day 5,FH,3 µM,Alanine,6.545944726
ASD12BI,Day 5,FH,3 µM,Alanine,1.823035266
ASD12BI,Day 5,FH,3 µM,Alanine,1.920894204
ASD12BI,Day 5,FH,3 µM,Alanine,1.897079267
ASD12BI,Day 5,CH,3 µM,Alanine,6.272129738
ASD12BI,Day 5,CH,3 µM,Alanine,6.344310594
ASD12BI,Day 5,CH,3 µM,Alanine,6.350767728
ASD12BI,Day 5,CH,3 µM,Alanine,1.858179795
ASD12BI,Day 5,CH,3 µM,Alanine,1.985596264
ASD12BI,Day 5,CH,3 µM,Alanine,1.892580292
ASD12BI,Day 5,SH,1.5 µM,Alanine,3.118847804
ASD12BI,Day 5,SH,1.5 µM,Alanine,2.857962502
ASD12BI,Day 5,SH,1.5 µM,Alanine,3.413707759
ASD12BI,Day 5,SH,1.5 µM,Alanine,0.710792713
ASD12BI,Day 5,SH,1.5 µM,Alanine,0.795158974
ASD12BI,Day 5,SH,1.5 µM,Alanine,0.831505802
AF22,Day 5,Control,0 µM,Alanine,3.600685755
AF22,Day 5,Control,0 µM,Alanine,2.886819121
AF22,Day 5,Control,0 µM,Alanine,3.848892214
AF22,Day 5,Control,0 µM,Alanine,1.715178833
AF22,Day 5,Control,0 µM,Alanine,1.733424604
AF22,Day 5,Control,0 µM,Alanine,1.754562508
AF22,Day 5,PH,3 µM,Alanine,4.237209577
AF22,Day 5,PH,3 µM,Alanine,2.725214791
AF22,Day 5,PH,3 µM,Alanine,2.772380621
AF22,Day 5,PH,3 µM,Alanine,1.694909618
AF22,Day 5,PH,3 µM,Alanine,1.662929609
AF22,Day 5,PH,3 µM,Alanine,1.635373779
AF22,Day 5,FH,3 µM,Alanine,2.824278286
AF22,Day 5,FH,3 µM,Alanine,3.194433651
AF22,Day 5,FH,3 µM,Alanine,3.055480101
AF22,Day 5,FH,3 µM,Alanine,1.86942283
AF22,Day 5,FH,3 µM,Alanine,1.778820546
AF22,Day 5,FH,3 µM,Alanine,1.786035074
AF22,Day 5,CH,3 µM,Alanine,2.762167432
AF22,Day 5,CH,3 µM,Alanine,3.004885258
AF22,Day 5,CH,3 µM,Alanine,2.583799137
AF22,Day 5,CH,3 µM,Alanine,1.668695495
AF22,Day 5,CH,3 µM,Alanine,1.831227229
AF22,Day 5,CH,3 µM,Alanine,1.755103326
AF22,Day 5,SH,1.5 µM,Alanine,3.120058977
AF22,Day 5,SH,1.5 µM,Alanine,2.530966825
AF22,Day 5,SH,1.5 µM,Alanine,3.776984476
AF22,Day 5,SH,1.5 µM,Alanine,1.533905797
AF22,Day 5,SH,1.5 µM,Alanine,1.456172454
AF22,Day 5,SH,1.5 µM,Alanine,1.520865154
CTRL9II,Day 28,Control,0 µM,Alanine,7.25158008
CTRL9II,Day 28,Control,0 µM,Alanine,9.39798533
CTRL9II,Day 28,Control,0 µM,Alanine,7.608041376
CTRL9II,Day 28,Control,0 µM,Alanine,5.81853588
CTRL9II,Day 28,Control,0 µM,Alanine,6.279591161
CTRL9II,Day 28,Control,0 µM,Alanine,5.973860282
CTRL9II,Day 28,SH,1.5 µM,Alanine,3.584050365
CTRL9II,Day 28,SH,1.5 µM,Alanine,3.565991143
CTRL9II,Day 28,SH,1.5 µM,Alanine,3.215928213
CTRL9II,Day 28,SH,1.5 µM,Alanine,4.076287694
CTRL9II,Day 28,SH,1.5 µM,Alanine,4.094936807
CTRL9II,Day 28,SH,1.5 µM,Alanine,3.376544539
CTRL9II,Day 28,PH,1.5 µM,Alanine,3.719861529
CTRL9II,Day 28,PH,1.5 µM,Alanine,3.926047467
CTRL9II,Day 28,PH,1.5 µM,Alanine,3.198525454
CTRL9II,Day 28,PH,1.5 µM,Alanine,3.956620523
CTRL9II,Day 28,PH,1.5 µM,Alanine,4.371448973
CTRL9II,Day 28,PH,1.5 µM,Alanine,3.933502724
CTRL9II,Day 28,FH,1.5 µM,Alanine,4.422516941
CTRL9II,Day 28,FH,1.5 µM,Alanine,4.238753707
CTRL9II,Day 28,FH,1.5 µM,Alanine,4.456290857
CTRL9II,Day 28,FH,1.5 µM,Alanine,4.261704788
CTRL9II,Day 28,FH,1.5 µM,Alanine,4.818785041
CTRL9II,Day 28,FH,1.5 µM,Alanine,4.244588816
CTRL9II,Day 28,CH,1.5 µM,Alanine,5.864632568
CTRL9II,Day 28,CH,1.5 µM,Alanine,6.034516171
CTRL9II,Day 28,CH,1.5 µM,Alanine,4.850857092
CTRL9II,Day 28,CH,1.5 µM,Alanine,6.121147545
CTRL9II,Day 28,CH,1.5 µM,Alanine,5.533212728
CTRL9II,Day 28,CH,1.5 µM,Alanine,4.663831679
ASD17AII,Day 28,Control,0 µM,Alanine,15.16727059
ASD17AII,Day 28,Control,0 µM,Alanine,14.4062025
ASD17AII,Day 28,Control,0 µM,Alanine,13.42966445
ASD17AII,Day 28,Control,0 µM,Alanine,11.51887777
ASD17AII,Day 28,Control,0 µM,Alanine,13.4034836
ASD17AII,Day 28,Control,0 µM,Alanine,11.97146056
ASD17AII,Day 28,SH,1.5 µM,Alanine,4.37788898
ASD17AII,Day 28,SH,1.5 µM,Alanine,4.484701789
ASD17AII,Day 28,SH,1.5 µM,Alanine,4.648150101
ASD17AII,Day 28,SH,1.5 µM,Alanine,3.855810345
ASD17AII,Day 28,SH,1.5 µM,Alanine,4.377252167
ASD17AII,Day 28,SH,1.5 µM,Alanine,2.916969009
ASD17AII,Day 28,PH,1.5 µM,Alanine,6.835275352
ASD17AII,Day 28,PH,1.5 µM,Alanine,6.139775355
ASD17AII,Day 28,PH,1.5 µM,Alanine,7.541293747
ASD17AII,Day 28,PH,1.5 µM,Alanine,4.319728586
ASD17AII,Day 28,PH,1.5 µM,Alanine,4.705355205
ASD17AII,Day 28,PH,1.5 µM,Alanine,3.84204123
ASD17AII,Day 28,FH,1.5 µM,Alanine,7.449935767
ASD17AII,Day 28,FH,1.5 µM,Alanine,5.597235931
ASD17AII,Day 28,FH,1.5 µM,Alanine,5.388651363
ASD17AII,Day 28,FH,1.5 µM,Alanine,5.922434648
ASD17AII,Day 28,FH,1.5 µM,Alanine,8.078766391
ASD17AII,Day 28,FH,1.5 µM,Alanine,6.441325599
ASD17AII,Day 28,CH,1.5 µM,Alanine,10.71808831
ASD17AII,Day 28,CH,1.5 µM,Alanine,9.676333949
ASD17AII,Day 28,CH,1.5 µM,Alanine,9.623728553
ASD17AII,Day 28,CH,1.5 µM,Alanine,11.06271699
ASD17AII,Day 28,CH,1.5 µM,Alanine,9.593777662
ASD17AII,Day 28,CH,1.5 µM,Alanine,7.062307414
ASD12BI,Day 28,Control,0 µM,Alanine,32.2123582
ASD12BI,Day 28,Control,0 µM,Alanine,27.22530037
ASD12BI,Day 28,Control,0 µM,Alanine,30.34457335
ASD12BI,Day 28,Control,0 µM,Alanine,18.92343224
ASD12BI,Day 28,Control,0 µM,Alanine,22.14993889
ASD12BI,Day 28,Control,0 µM,Alanine,22.57658051
ASD12BI,Day 28,SH,1.5 µM,Alanine,6.222025966
ASD12BI,Day 28,SH,1.5 µM,Alanine,6.477680863
ASD12BI,Day 28,SH,1.5 µM,Alanine,5.548079538
ASD12BI,Day 28,SH,1.5 µM,Alanine,3.100405923
ASD12BI,Day 28,SH,1.5 µM,Alanine,4.059403457
ASD12BI,Day 28,SH,1.5 µM,Alanine,2.942331257
ASD12BI,Day 28,PH,1.5 µM,Alanine,11.80534234
ASD12BI,Day 28,PH,1.5 µM,Alanine,12.59309796
ASD12BI,Day 28,PH,1.5 µM,Alanine,11.20042468
ASD12BI,Day 28,PH,1.5 µM,Alanine,13.06061219
ASD12BI,Day 28,PH,1.5 µM,Alanine,14.30454749
ASD12BI,Day 28,PH,1.5 µM,Alanine,9.580908643
ASD12BI,Day 28,FH,1.5 µM,Alanine,18.7850168
ASD12BI,Day 28,FH,1.5 µM,Alanine,20.32645402
ASD12BI,Day 28,FH,1.5 µM,Alanine,19.93973857
